,TIPO DE CARTÃO,ENTIDADE VINCULADA,UNIDADE GESTORA,NOME PORTADOR,DATA TRANSAÇÃO,MES,ANO,VALOR
584,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,25/06/2019,7,2019,1297.73
585,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,27/06/2019,8,2019,1317.0
586,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,MARIA LUCIA DE JESUS SILVA,09/07/2019,8,2019,1320.0
587,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,07/05/2019,6,2019,1331.0
588,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,06/04/2019,5,2019,1333.7
589,Cartão de Pagamento do Governo Federal - CPGF,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NILO DA LUZ GUTEMBERG,19/11/2019,12,2019,1360.0
590,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,25/03/2019,4,2019,1365.0
591,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,24/04/2019,5,2019,1407.53
592,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,24/04/2019,5,2019,1425.23
593,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,EDSON LUIZ NASSAR GOUVEA,16/10/2019,11,2019,1435.54
594,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,23/07/2019,8,2019,1445.04
595,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,MARIA LUCIA DE JESUS SILVA,23/09/2019,10,2019,1450.64
596,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,MARIA LUCIA DE JESUS SILVA,08/08/2019,9,2019,1500.0
597,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,22/07/2019,8,2019,1523.4
598,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,30/05/2019,7,2019,1523.54
599,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,MARIA LUCIA DE JESUS SILVA,03/07/2019,8,2019,1530.0
600,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,LUCIANO BUARQUE BARBOSA,11/03/2019,4,2019,1530.0
601,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,17/04/2019,5,2019,1548.43
602,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,22/07/2019,8,2019,1551.32
603,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,19/06/2019,7,2019,1556.73
604,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,23/07/2019,8,2019,1560.34
605,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,11/06/2019,7,2019,1575.32
606,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,16/04/2019,5,2019,1581.39
607,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,02/04/2019,5,2019,1600.0
608,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,22/03/2019,4,2019,1600.0
609,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,22/05/2019,6,2019,1630.0
610,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,25/06/2019,7,2019,1639.46
611,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,20/06/2019,7,2019,1646.93
612,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,04/06/2019,7,2019,1680.0
613,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,02/04/2019,5,2019,1685.39
614,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,23/05/2019,6,2019,1714.18
615,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,02/05/2019,6,2019,1720.0
616,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,EDSON LUIZ NASSAR GOUVEA,12/03/2019,4,2019,1725.3
617,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,13/05/2019,6,2019,1740.34
618,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,02/04/2019,5,2019,1742.85
619,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,08/05/2019,6,2019,1743.8
620,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,05/04/2019,5,2019,1749.19
621,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,LUCIANO BUARQUE BARBOSA,30/11/2018,1,2019,1753.17
622,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,25/04/2019,5,2019,1758.0
623,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,LUCIANO BUARQUE BARBOSA,04/12/2018,1,2019,1770.0
624,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,25/04/2019,6,2019,1778.85
625,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,07/05/2019,6,2019,1785.6
626,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,24/06/2019,7,2019,1812.59
627,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,22/04/2019,5,2019,1834.83
628,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,08/04/2019,5,2019,1857.09
629,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,15/04/2019,5,2019,1882.64
630,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,05/06/2019,7,2019,1885.04
631,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,24/04/2019,5,2019,1934.79
632,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,15/07/2019,8,2019,1953.22
633,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110322 - GABINETE DE SEGURANCA INSTITUCIONAL/PR,Sigiloso,Sem informação,1,2019,1959.47
634,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,08/05/2019,6,2019,1973.56
635,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,09/07/2019,8,2019,1975.98
636,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,07/05/2019,6,2019,1980.22
637,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,05/07/2019,8,2019,1991.42
638,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,18/06/2019,7,2019,2001.57
639,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,29/05/2019,7,2019,2033.19
640,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,03/06/2019,7,2019,2033.42
641,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,31/05/2019,7,2019,2069.67
642,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,02/05/2019,6,2019,2085.63
643,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,18/06/2019,7,2019,2088.02
644,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,18/05/2019,6,2019,2100.08
645,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,27/06/2019,8,2019,2127.57
646,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,19/04/2019,5,2019,2156.35
647,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,15/05/2019,6,2019,2163.22
648,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,02/04/2019,5,2019,2354.35
649,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,10/05/2019,6,2019,2442.24
650,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,17/04/2019,5,2019,2452.18
651,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,13/04/2019,5,2019,2468.52
652,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,17/04/2019,5,2019,2500.0
653,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,30/05/2019,7,2019,2502.92
654,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,01/07/2019,8,2019,2578.72
655,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,14/06/2019,7,2019,2616.81
656,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,12/04/2019,5,2019,2629.96
657,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,07/06/2019,7,2019,2690.94
658,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,07/06/2019,7,2019,2710.7
659,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,11/07/2019,8,2019,2711.24
660,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,22/04/2019,5,2019,2721.23
661,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,28/06/2019,8,2019,2755.69
662,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,27/05/2019,6,2019,2767.95
663,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,08/04/2019,5,2019,2836.3
664,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,27/06/2019,8,2019,2838.21
665,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,27/05/2019,6,2019,2848.17
666,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,08/04/2019,5,2019,2904.37
667,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,04/07/2019,8,2019,2919.65
668,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,05/06/2019,7,2019,2919.74
669,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,04/07/2019,8,2019,2929.98
670,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,07/06/2019,7,2019,2930.78
671,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,24/05/2019,6,2019,2944.79
672,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,09/04/2019,5,2019,2998.45
673,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,29/05/2019,7,2019,3000.11
674,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,29/05/2019,7,2019,3000.79
675,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,13/06/2019,7,2019,3024.09
676,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,18/06/2019,7,2019,3050.04
677,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,15/05/2019,6,2019,3077.71
678,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,11/04/2019,5,2019,3108.22
679,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,26/04/2019,6,2019,3131.22
680,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,20/05/2019,6,2019,3261.3
681,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,06/05/2019,6,2019,3279.35
682,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,19/04/2019,5,2019,3296.02
683,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,28/05/2019,7,2019,3323.47
684,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,19/07/2019,8,2019,3359.81
685,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,22/04/2019,5,2019,3366.17
686,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,14/05/2019,6,2019,3370.0
687,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,24/06/2019,7,2019,3405.99
688,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,24/05/2019,6,2019,3409.49
689,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,06/05/2019,6,2019,3440.11
690,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,18/06/2019,7,2019,3449.64
691,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,10/06/2019,7,2019,3479.55
692,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,21/06/2019,7,2019,3500.21
693,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,07/06/2019,7,2019,3576.12
694,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,15/07/2019,8,2019,3593.38
695,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,20/05/2019,6,2019,3623.17
696,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,30/04/2019,6,2019,3786.19
697,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,12/04/2019,5,2019,3856.55
698,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,07/06/2019,7,2019,3921.62
699,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,21/06/2019,7,2019,3925.74
700,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,18/07/2019,8,2019,3935.9
701,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,28/05/2019,6,2019,4023.44
702,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,ADRIANO FRANCO BEZERRA,16/09/2019,10,2019,4071.6
703,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,30/04/2019,6,2019,4090.99
704,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,13/05/2019,6,2019,4122.48
705,Cartão de Pagamento de Compras Centralizadas - CPCC,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,NAO SE APLICA,18/06/2019,7,2019,4133.1
706,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,14/05/2019,6,2019,4148.22
707,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110120 - AGENCIA BRASILEIRA DE INTELIGENCIA,Sigiloso,Sem informação,4,2019,4163.67
708,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,13/06/2019,7,2019,4206.53
709,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,03/06/2019,7,2019,4297.39
710,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,25/04/2019,5,2019,4366.52
711,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110120 - AGENCIA BRASILEIRA DE INTELIGENCIA,Sigiloso,Sem informação,1,2019,4448.8
712,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,03/04/2019,5,2019,4450.28
713,Cartão de Pagamento de Compras Centralizadas - CPCC,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NAO SE APLICA,07/06/2019,7,2019,4519.09
714,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,22/05/2019,6,2019,4624.08
715,Cartão de Pagamento de Compras Centralizadas - CPCC,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,NAO SE APLICA,30/05/2019,7,2019,4634.95
